phosphor		
wavelength	intensity	not used
658.603	8057.14	0
658.95	7916.71	0
659.296	7918.94	0
659.643	7655.9	0
659.99	7722.78	0
660.336	7762.9	0
660.683	7457.52	0
661.029	7439.68	0
661.376	7341.6	0
661.722	7276.96	0
662.068	7078.57	0
662.415	7005.01	0
662.761	6871.27	0
663.107	6909.16	0
663.453	6797.71	0
663.799	6757.58	0
664.146	6621.61	0
664.492	6597.09	0
664.838	6583.72	0
665.183	6340.75	0
665.529	6287.25	0
665.875	6224.83	0
666.221	6131.21	0
666.567	6033.13	0
666.913	5923.91	0
667.258	6059.88	0
667.604	5941.74	0
667.95	5723.29	0
668.295	5544.96	0
668.641	5567.26	0
668.986	5580.63	0
669.331	5315.37	0
669.677	5364.41	0
670.022	5145.96	0
670.367	5317.6	0
670.713	5308.68	0
671.058	5096.92	0
671.403	5125.9	0
671.748	5094.69	0
672.093	4862.87	0
672.438	4891.84	0
672.783	4751.41	0
673.128	4829.43	0
673.473	4535.19	0
673.818	4813.83	0
674.163	4619.9	0
674.508	4510.67	0
674.852	4417.05	0
675.197	4477.23	0
675.542	4401.45	0
675.886	4238.72	0
676.231	4339.03	0
676.575	4053.71	0
676.92	4098.29	0
677.264	3957.86	0
677.609	3991.29	0
677.953	3850.86	0
678.297	3890.99	0
678.641	3873.15	0
678.986	3790.68	0
679.33	3801.82	0
679.674	3661.39	0
680.018	3601.21	0
680.362	3596.75	0
680.706	3594.52	0
681.05	3465.23	0
681.394	3478.61	0
681.738	3483.06	0
682.082	3440.71	0
682.425	3422.88	0
682.769	3266.84	0
683.113	3298.05	0
683.456	3215.57	0
683.8	3124.18	0
684.143	3139.79	0
684.487	3084.06	0
684.83	3043.93	0
685.174	3012.73	0
685.517	2977.06	0
685.86	2905.73	0
686.204	2894.59	0
686.547	2787.59	0
686.89	2841.09	0
687.233	2789.82	0
687.576	2740.78	0
687.919	2696.2	0
688.263	2622.64	0
688.605	2493.35	0
688.948	2631.55	0
689.291	2589.2	0
689.634	2546.85	0
689.977	2395.27	0
690.32	2417.56	0
690.662	2444.31	0
691.005	2357.38	0
691.348	2306.11	0
691.69	2228.09	0
692.033	2297.19	0
692.375	2234.78	0
692.718	2330.63	0
693.06	2154.53	0
693.402	2312.8	0
693.745	2210.26	0
694.087	2105.49	0
694.429	2123.32	0
694.771	2029.7	0
695.113	2054.22	0
695.456	2054.22	0
695.798	2072.06	0
696.14	2067.6	0
696.482	1982.89	0
696.823	1893.73	0
697.165	1953.91	0
697.507	1846.92	0
697.849	1842.46	0
698.191	1902.65	0
698.532	1686.42	0
698.874	1822.4	0
699.216	1755.53	0
699.557	1713.17	0
699.899	1686.42	0
700.24	1693.11	0
700.581	1684.2	0
700.923	1681.97	0
701.264	1608.41	0
701.605	1619.55	0
701.947	1574.97	0
702.288	1548.22	0
702.629	1639.61	0
702.97	1615.09	0
703.311	1474.66	0
703.652	1503.64	0
703.993	1490.26	0
704.334	1441.23	0
704.675	1416.71	0
705.016	1387.73	0
705.357	1332	0
705.697	1459.06	0
706.038	1387.73	0
706.379	1367.67	0
706.719	1307.48	0
707.06	1432.31	0
707.4	1354.29	0
707.741	1340.92	0
708.081	1349.83	0
708.422	1278.5	0
708.762	1200.48	0
709.102	1256.21	0
709.443	1249.52	0
709.783	1314.17	0
710.123	1198.26	0
710.463	1200.48	0
710.803	1160.36	0
711.143	1401.1	0
711.483	1140.3	0
711.823	1115.78	0
712.163	1155.9	0
712.503	1060.05	0
712.843	1126.92	0
713.182	984.26	0
713.522	1060.05	0
713.862	1091.26	0
714.201	1035.53	0
714.541	1022.16	0
714.881	1008.78	0
715.22	964.2	0
715.56	953.06	0
715.899	999.87	0
716.238	868.35	0
716.578	957.51	0
716.917	1011.01	0
717.256	926.31	0
717.595	928.54	0
717.934	955.29	0
718.273	926.31	0
718.612	872.81	0
718.951	895.1	0
719.29	808.17	0
719.629	841.6	0
719.968	768.04	0
720.307	797.02	0
720.646	826	0
720.984	770.27	0
721.323	814.85	0
721.662	714.54	0
722	839.37	0
722.339	828.23	0
722.677	821.54	0
723.016	776.96	0
723.354	776.96	0
723.693	745.75	0
724.031	714.54	0
724.369	828.23	0
724.707	656.59	0
725.046	705.63	0
725.384	750.21	0
725.722	719	0
726.06	772.5	0
726.398	643.21	0
726.736	719	0
727.074	707.86	0
727.412	683.34	0
727.749	580.8	0
728.087	701.17	0
728.425	669.96	0
728.763	627.61	0
729.1	625.38	0
729.438	623.15	0
729.775	647.67	0
730.113	594.17	0
730.45	629.84	0
730.788	600.86	0
731.125	569.65	0
731.462	632.07	0
731.8	620.92	0
732.137	652.13	0
732.474	569.65	0
732.811	560.74	0
733.148	533.99	0
733.485	569.65	0
733.822	531.76	0
734.159	487.18	0
734.496	487.18	0
734.833	531.76	0
735.17	484.95	0
735.507	502.78	0
735.843	409.16	0
736.18	545.13	0
736.517	549.59	0
736.853	493.87	0
737.19	435.91	0
737.526	449.28	0
737.863	453.74	0
738.199	511.7	0
738.535	476.03	0
738.872	502.78	0
739.208	464.89	0
739.544	362.35	0
739.88	431.45	0
740.217	476.03	0
740.553	435.91	0
740.889	377.95	0
741.225	398.01	0
741.561	442.6	0
741.897	377.95	0
742.232	415.85	0
742.568	471.57	0
742.904	366.81	0
743.24	435.91	0
743.575	411.39	0
743.911	360.12	0
744.247	328.91	0
744.582	373.5	0
744.918	415.85	0
745.253	346.75	0
745.588	311.08	0
745.924	429.22	0
746.259	353.43	0
746.594	433.68	0
746.929	302.16	0
747.265	311.08	0
747.6	291.02	0
747.935	302.16	0
748.27	380.18	0
748.605	266.5	0
748.94	333.37	0
749.275	230.83	0
749.609	304.39	0
749.944	326.68	0
750.279	306.62	0
750.614	315.54	0
750.948	304.39	0
751.283	295.48	0
751.618	342.29	0
751.952	288.79	0
752.287	277.64	0
752.621	253.12	0
752.955	273.19	0
753.29	248.67	0
753.624	279.87	0
753.958	288.79	0
754.292	362.35	0
754.627	262.04	0
754.961	355.66	0
755.295	268.73	0
755.629	311.08	0
755.963	328.91	0
756.297	273.19	0
756.63	284.33	0
756.964	257.58	0
757.298	192.94	0
757.632	282.1	0
757.965	277.64	0
758.299	266.5	0
758.633	123.84	0
758.966	255.35	0
759.3	199.63	0
759.633	255.35	0
759.967	226.38	0
760.3	270.96	0
760.633	259.81	0
760.966	206.31	0
761.3	208.54	0
761.633	213	0
761.966	217.46	0
762.299	230.83	0
762.632	248.67	0
762.965	226.38	0
763.298	208.54	0
763.631	217.46	0
763.964	177.34	0
764.297	241.98	0
764.629	275.42	0
764.962	221.92	0
765.295	130.53	0
765.627	221.92	0
765.96	208.54	0
766.292	143.9	0
766.625	179.56	0
766.957	143.9	0
767.29	170.65	0
767.622	161.73	0
767.954	141.67	0
768.286	163.96	0
768.619	175.11	0
768.951	137.21	0
769.283	137.21	0
769.615	197.4	0
769.947	150.59	0
770.279	199.63	0
770.611	186.25	0
770.943	152.82	0
771.275	141.67	0
771.606	177.34	0
771.938	175.11	0
772.27	197.4	0
772.601	188.48	0
772.933	161.73	0
773.264	157.27	0
773.596	77.03	0
773.927	143.9	0
774.259	177.34	0
774.59	112.69	0
774.921	114.92	0
775.253	143.9	0
775.584	230.83	0
775.915	137.21	0
776.246	108.23	0
776.577	150.59	0
776.908	97.09	0
777.239	148.36	0
777.57	139.44	0
777.901	112.69	0
778.232	121.61	0
778.563	137.21	0
778.893	88.17	0
779.224	97.09	0
779.555	137.21	0
779.885	108.23	0
780.216	134.98	0
780.546	130.53	0
780.877	112.69	0
781.207	70.34	0
781.538	74.8	0
781.868	101.55	0
782.198	139.44	0
782.528	97.09	0
782.859	132.75	0
783.189	83.71	0
783.519	163.96	0
783.849	85.94	0
784.179	139.44	0
784.509	179.56	0
784.839	161.73	0
785.168	148.36	0
785.498	103.78	0
785.828	90.4	0
786.158	159.5	0
786.487	141.67	0
786.817	85.94	0
787.146	155.05	0
787.476	103.78	0
787.805	139.44	0
788.135	134.98	0
788.464	132.75	0
788.793	54.74	0
789.123	85.94	0
789.452	108.23	0
789.781	119.38	0
790.11	112.69	0
790.439	56.97	0
790.768	155.05	0
791.097	79.26	0
791.426	108.23	0
791.755	121.61	0
792.084	112.69	0
792.413	59.19	0
792.742	77.03	0
793.07	106.01	0
793.399	110.46	0
793.728	88.17	0
794.056	72.57	0
794.385	117.15	0
794.713	137.21	0
795.042	181.79	0
795.37	65.88	0
795.698	63.65	0
796.026	36.9	0
796.355	70.34	0
796.683	65.88	0
797.011	108.23	0
797.339	68.11	0
797.667	123.84	0
797.995	103.78	0
798.323	34.67	0
798.651	41.36	0
798.979	79.26	0
799.307	74.8	0
799.634	128.3	0
799.962	94.86	0
