TiO2		
Wavelength(nm)	n	k
1095	2.39803	0
1096	2.39796	0
1097	2.39789	0
1098	2.39781	0
1099	2.39774	0
1100	2.39767	0
1101	2.3976	0
1102	2.39753	0
1103	2.39746	0
1104	2.39739	0
1105	2.39732	0
1106	2.39725	0
1107	2.39719	0
1108	2.39712	0
1109	2.39705	0
1110	2.39698	0
1111	2.39691	0
1112	2.39684	0
1113	2.39678	0
1114	2.39671	0
1115	2.39664	0
1116	2.39657	0
1117	2.39651	0
1118	2.39644	0
1119	2.39637	0
1120	2.39631	0
1121	2.39624	0
1122	2.39617	0
1123	2.39611	0
1124	2.39604	0
1125	2.39598	0
1126	2.39591	0
1127	2.39585	0
1128	2.39578	0
1129	2.39572	0
1130	2.39565	0
1131	2.39559	0
1132	2.39552	0
1133	2.39546	0
1134	2.39539	0
1135	2.39533	0
1136	2.39527	0
1137	2.3952	0
1138	2.39514	0
1139	2.39508	0
1140	2.39501	0
1141	2.39495	0
1142	2.39489	0
1143	2.39483	0
1144	2.39476	0
1145	2.3947	0
1146	2.39464	0
1147	2.39458	0
1148	2.39452	0
1149	2.39446	0
1150	2.39439	0
1151	2.39433	0
1152	2.39427	0
1153	2.39421	0
1154	2.39415	0
1155	2.39409	0
1156	2.39403	0
1157	2.39397	0
1158	2.39391	0
1159	2.39385	0
1160	2.39379	0
1161	2.39373	0
1162	2.39367	0
1163	2.39362	0
1164	2.39356	0
1165	2.3935	0
1166	2.39344	0
1167	2.39338	0
1168	2.39332	0
1169	2.39326	0
1170	2.39321	0
1171	2.39315	0
1172	2.39309	0
1173	2.39303	0
1174	2.39298	0
1175	2.39292	0
1176	2.39286	0
1177	2.39281	0
1178	2.39275	0
1179	2.39269	0
1180	2.39264	0
1181	2.39258	0
1182	2.39252	0
1183	2.39247	0
1184	2.39241	0
1185	2.39236	0
1186	2.3923	0
1187	2.39225	0
1188	2.39219	0
1189	2.39214	0
1190	2.39208	0
1191	2.39203	0
1192	2.39197	0
1193	2.39192	0
1194	2.39186	0
1195	2.39181	0
1196	2.39175	0
1197	2.3917	0
1198	2.39165	0
1199	2.39159	0
1200	2.39154	0
1201	2.39149	0
1202	2.39143	0
1203	2.39138	0
1204	2.39133	0
1205	2.39128	0
1206	2.39122	0
1207	2.39117	0
1208	2.39112	0
1209	2.39107	0
1210	2.39101	0
1211	2.39096	0
1212	2.39091	0
1213	2.39086	0
1214	2.39081	0
1215	2.39076	0
1216	2.3907	0
1217	2.39065	0
1218	2.3906	0
1219	2.39055	0
1220	2.3905	0
1221	2.39045	0
1222	2.3904	0
